Rock Alternatif Punk Hardcore,The Amsterdam Red-Light District,Sapere Aude,2018,http://instagram.com/tarldtheband,http://twitter.com/tarldtheband,https://www.youtube.com/channel/UCICEec22452qp6bMVP9yMtA,Red Light Records,https://www.youtube.com/watch?v=gscVADAE7XY,https://youtu.be/Wkd2GcaEuQ0,https://www.facebook.com/pg/tarldtheband,tarldtheband@gmail.com,Rhône Alpes (Lyon),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/51366409_10155767182020997_4320561701901565952_n.jpg?_nc_cat=105&_nc_ht=scontent-cdt1-1.xx&oh=20a06d25bd514622d894c76adb2307d1&oe=5CEC4E23,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/51366409_10155767182020997_4320561701901565952_n.jpg?_nc_cat=105&_nc_ht=scontent-cdt1-1.xx&oh=20a06d25bd514622d894c76adb2307d1&oe=5CEC4E23
Cold Punk Hardcore D-Beat,Recedant Somnia,A Wake Up Nightmare,2018,,https://recedantsomnia.bandcamp.com/album/a-waked-up-nightmare,https://www.youtube.com/channel/UCLMPNjsmua-ybcO9byKWn2w,,https://www.youtube.com/watch?v=oapBFcc2vI8,https://youtu.be/HmkRMU2_qNw,https://www.facebook.com/pg/recedantsomniaband,recedantsomnia.band@gmail.com,Bretagne (Rennes),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/40685417_528775504241026_2241406873297223680_n.jpg?_nc_cat=107&_nc_ht=scontent-cdt1-1.xx&oh=3dc283ba4f3e5a35e63a8f6bfa1c4d22&oe=5CF88C66,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/40685417_528775504241026_2241406873297223680_n.jpg?_nc_cat=107&_nc_ht=scontent-cdt1-1.xx&oh=3dc283ba4f3e5a35e63a8f6bfa1c4d22&oe=5CF88C66
Hardcore,beyond the Styx,STIIGMA,2018,https://soundcloud.com/beyondthestyx,https://beyondthestyx.bandcamp.com/,https://www.youtube.com/channel/UCtFL6fY12jIY99IGwrYQ7ow,Klonosphere / Diorama Records,https://www.youtube.com/watch?v=9Ba_O_cU7CM,https://youtu.be/R2nqrB3ljhs,https://www.facebook.com/pg/BTSTYX,beyondthestyx@hotmail.fr,Centre (Tours),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/26219135_1623826781006724_131974244846629668_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=46856975caa34a08e91561f59ad7a4f4&oe=5CFF4817,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/26219135_1623826781006724_131974244846629668_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=46856975caa34a08e91561f59ad7a4f4&oe=5CFF4817
Metalcore / Deathcore,When Reasons Collapse,Omen Of The Banshee,2018,,https://twitter.com/wrcollapse,https://www.youtube.com/channel/UCZwbiS3RHl8KXrs4nf186jA,,https://www.youtube.com/watch?v=FAeQ27HOkbk,https://youtu.be/elc6mS6O4JE,https://www.facebook.com/pg/WhenReasonsCollapse,wrcollapse@gmail.com,Ile de France (Paris),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/23559905_10155775245608911_8207421632460366111_n.jpg?_nc_cat=101&_nc_ht=scontent-cdt1-1.xx&oh=d96927dc408933c701b71cf6f0e8b70f&oe=5CB55412,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/23559905_10155775245608911_8207421632460366111_n.jpg?_nc_cat=101&_nc_ht=scontent-cdt1-1.xx&oh=d96927dc408933c701b71cf6f0e8b70f&oe=5CB55412
Blackcore,In Arkadia,Lions,2018,http://www.instragram.com/ia69official,http://www.twitter.com/InArkadiaTweets Catégorie,https://www.youtube.com/channel/UCB1rEN8GgYgW0rW5AYouWnQ,,https://www.youtube.com/watch?v=hn8VCyD8Cvo,https://youtu.be/iX71vSxj9aI,https://www.facebook.com/pg/InArkadiaOfficial,inarkadiaofficial@gmail.com,Rhône Alpes (Lyon),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/31949178_10156300561969556_5277636035000401920_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=57139da4da8e5a73499e85c6508f08b6&oe=5CF274F3,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/31949178_10156300561969556_5277636035000401920_n.jpg?_nc_cat=109&_nc_ht=scontent-cdt1-1.xx&oh=57139da4da8e5a73499e85c6508f08b6&oe=5CF274F3
Metalcore,Out Of My Eyes,Concept,2018,https://www.instagram.com/oomesquad,https://twitter.com/oomesquad/,https://www.youtube.com/channel/UCw0yZoDWb9sunNBYs4An39w,Imminence Records,https://www.youtube.com/watch?v=g5Cn9LYzV1A,https://www.youtube.com/watch?v=XT2-RIpwdl4,https://www.facebook.com/pg/oomesquad,outofmyeyes@outlook.fr,Ile de France (Paris),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/44974731_2241379159206049_3323218867831963648_o.jpg?_nc_cat=103&_nc_ht=scontent-cdt1-1.xx&oh=927c0e05276ce4f024e5d42be5cf72e3&oe=5CF914A5,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/44974731_2241379159206049_3323218867831963648_o.jpg?_nc_cat=103&_nc_ht=scontent-cdt1-1.xx&oh=927c0e05276ce4f024e5d42be5cf72e3&oe=5CF914A5
Modern Metal / Metalcore / Hardcore,Irya,Porn generation,2018,https://soundcloud.com/iryamusic,https://irya.bandcamp.com/releases,https://www.youtube.com/channel/UCNpvLTFj19cc4iBpgkZ2RUQ,,https://youtu.be/L2TejKg4jdU,https://youtu.be/934zEpvBWkg,https://www.facebook.com/iryamusic/,iryametal@gmail.com,Orléans,,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/30729121_1517568358364936_1984239511896367734_n.jpg?_nc_cat=105&_nc_ht=scontent-cdt1-1.xx&oh=4395accd349dbfef841bfcf60eca8369&oe=5CE23711,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/30729121_1517568358364936_1984239511896367734_n.jpg?_nc_cat=105&_nc_ht=scontent-cdt1-1.xx&oh=4395accd349dbfef841bfcf60eca8369&oe=5CE23711
Hardcore,Eighters,A STORY OF A FALLEN YOUTH,2018,,http://www.deezer.com/album/60171402,https://www.youtube.com/channel/UCouYjF_mnoIYNmLzoQBgVkw,DIY,https://youtu.be/jphPMqBeE6c,https://youtu.be/frP4_SDCqsg,https://www.facebook.com/eightersHxC/,eightersbooking@gmail.com,Saint-Étienne,,https://scontent-cdt1-1.xx.fbcdn.net/v/t31.0-8/29749839_2046096775603964_7339358315655415985_o.jpg?_nc_cat=107&_nc_ht=scontent-cdt1-1.xx&oh=398c4a3455566e2923cf0c7ff5d0c7d3&oe=5CE305CC,https://scontent-cdt1-1.xx.fbcdn.net/v/t31.0-8/29749839_2046096775603964_7339358315655415985_o.jpg?_nc_cat=107&_nc_ht=scontent-cdt1-1.xx&oh=398c4a3455566e2923cf0c7ff5d0c7d3&oe=5CE305CC
Hardcore Punk,The Great Divide,Linger Over / linger On,2018,,https://thegreatdivide.bandcamp.com/album/linger-over-linger-on,https://www.youtube.com/channel/UC0WPgQh79RRD7M2j-Q_4JFQ,Useless Pride Records,https://www.youtube.com/watch?v=it2Qyq1Oejw,https://youtu.be/4raKYkugNg4,https://www.facebook.com/pg/thegreatdivide,,Ile De France (Paris),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/29496536_1907106169362241_3019196244825210880_n.jpg?_nc_cat=100&_nc_ht=scontent-cdt1-1.xx&oh=b995d102e7040e13d7b91a39d0e23775&oe=5CB8500D,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/29496536_1907106169362241_3019196244825210880_n.jpg?_nc_cat=100&_nc_ht=scontent-cdt1-1.xx&oh=b995d102e7040e13d7b91a39d0e23775&oe=5CB8500D
Hardcore  ,Kill For Peace,Agony,2018,,https://killforpeace.bandcamp.com/,https://www.youtube.com/channel/UChq92Bv_stt_c_S1NFcHKiA,DON’T TRUST THE HYPE,https://www.youtube.com/watch?v=sJ2Qv8JcxMs,https://youtu.be/NiENp8WQ70M,https://www.facebook.com/pg/KILLFORPEACE,,Nord Pas De Calais (Valenciennes),,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/28870669_10155562317135939_7204210115840269598_n.jpg?_nc_cat=110&_nc_ht=scontent-cdt1-1.xx&oh=2aa1fb5ed1d0796bfe4f0925cf580085&oe=5CE92E26,https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-9/28870669_10155562317135939_7204210115840269598_n.jpg?_nc_cat=110&_nc_ht=scontent-cdt1-1.xx&oh=2aa1fb5ed1d0796bfe4f0925cf580085&oe=5CE92E26
