Technical Death Metal;DYSMORPHIC
Brutal Death/Grind;Benighted
Death;Defenestration
Death;Iron Flesh
Cavernous and Deep Black Metal;Abyssal Vacuum
Black Metal;Aorlhac
Black Metal;Mortis Mutilati
Death / Hardcore;BTK (Bind Torture Kill)
Modern melodic death metal;Swarmageddon
Black/Death/Oriental/Progressif;Aeon Patronist
Black Metal;God against humanity
Death Metal;Warkunt
Black Metal;Malepeste et Dysylumn
Black Metal;Finis Omnivm
Melodic Death Metal;Voraphilya
Black Metal;Karne
Death Metal;ACOD
Progressive Black/Death Metal;Dysylumn
Death Metal;Tempt Fate
Brutal Death;Solar Eruption
Progressive Death Metal;Fractal Universe
Death Metal;Prophetic Scourge
Melodic Groove Metal, Death Metal;Mind Imperium
Modern Death Metal;CHABTAN
PROGRESSIVE DEATH METAL;Sadraen
death metal old school;Freitot
Doom / Death / Black Metal;Utopian Despair
