STYLE SECONDAIRE;NOM GROUPE;TITRE ALBUM;ANNEE;Lien titre 1;Lien titre 2;Lien titre 3;Label;Clip titre ;Clip titre 2;Lien groupe;mail contact;Origine;Telephone;Pochette ;Photo du Groupe
Rock Alternatif Punk Hardcore;The Amsterdam Red-Light District;Sapere Aude;2018;http://instagram.com/tarldtheband;http://twitter.com/tarldtheband;https://www.youtube.com/channel/UCICEec22452qp6bMVP9yMtA;Red Light Records;https://www.youtube.com/watch?v=gscVADAE7XY;https://youtu.be/Wkd2GcaEuQ0;https://www.facebook.com/pg/tarldtheband;tarldtheband@gmail.com;Rhône Alpes (Lyon);;;
Cold Punk Hardcore D-Beat;Recedant Somnia;A Wake Up Nightmare;2018;;https://recedantsomnia.bandcamp.com/album/a-waked-up-nightmare;https://www.youtube.com/channel/UCLMPNjsmua-ybcO9byKWn2w;;https://www.youtube.com/watch?v=oapBFcc2vI8;https://youtu.be/HmkRMU2_qNw;https://www.facebook.com/pg/recedantsomniaband;recedantsomnia.band@gmail.com;Bretagne (Rennes);;;
Hardcore;beyond the Styx;STIIGMA;2018;https://soundcloud.com/beyondthestyx;https://beyondthestyx.bandcamp.com/;https://www.youtube.com/channel/UCtFL6fY12jIY99IGwrYQ7ow;Klonosphere / Diorama Records;https://www.youtube.com/watch?v=9Ba_O_cU7CM;https://youtu.be/R2nqrB3ljhs;https://www.facebook.com/pg/BTSTYX;beyondthestyx@hotmail.fr;Centre (Tours);;;
Metalcore / Deathcore;When Reasons Collapse;Omen Of The Banshee;2018;;https://twitter.com/wrcollapse;https://www.youtube.com/channel/UCZwbiS3RHl8KXrs4nf186jA;;https://www.youtube.com/watch?v=FAeQ27HOkbk;https://youtu.be/elc6mS6O4JE;https://www.facebook.com/pg/WhenReasonsCollapse;wrcollapse@gmail.com;Ile de France (Paris);;;
Blackcore;In Arkadia;Lions;2018;http://www.instragram.com/ia69official;http://www.twitter.com/InArkadiaTweets Catégorie;https://www.youtube.com/channel/UCB1rEN8GgYgW0rW5AYouWnQ;;https://www.youtube.com/watch?v=hn8VCyD8Cvo;https://youtu.be/iX71vSxj9aI;https://www.facebook.com/pg/InArkadiaOfficial;inarkadiaofficial@gmail.com;Rhône Alpes (Lyon);;;
Metalcore;Out Of My Eyes;Concept;2018;https://www.instagram.com/oomesquad;https://twitter.com/oomesquad/;https://www.youtube.com/channel/UCw0yZoDWb9sunNBYs4An39w;Imminence Records;https://www.youtube.com/watch?v=g5Cn9LYzV1A;https://www.youtube.com/watch?v=XT2-RIpwdl4;https://www.facebook.com/pg/oomesquad;outofmyeyes@outlook.fr;Ile de France (Paris);;;
Modern Metal / Metalcore / Hardcore;Irya;Porn generation;2018;https://soundcloud.com/iryamusic;https://irya.bandcamp.com/releases;https://www.youtube.com/channel/UCNpvLTFj19cc4iBpgkZ2RUQ;;https://youtu.be/L2TejKg4jdU;https://youtu.be/934zEpvBWkg;https://www.facebook.com/iryamusic/;iryametal@gmail.com;Orléans;;;
Hardcore;Eighters;A STORY OF A FALLEN YOUTH;2018;;http://www.deezer.com/album/60171402;https://www.youtube.com/channel/UCouYjF_mnoIYNmLzoQBgVkw;DIY;https://youtu.be/jphPMqBeE6c;https://youtu.be/frP4_SDCqsg;https://www.facebook.com/eightersHxC/;eightersbooking@gmail.com;Saint-Étienne, Lyon, Clermont-Ferrand;;;
Hardcore Punk;The Great Divide;Linger Over, Linger On;2018;;https://thegreatdivide.bandcamp.com/album/linger-over-linger-on;https://www.youtube.com/channel/UC0WPgQh79RRD7M2j-Q_4JFQ;Useless Pride Records;https://www.youtube.com/watch?v=it2Qyq1Oejw;https://youtu.be/4raKYkugNg4;https://www.facebook.com/pg/thegreatdivide;;Ile De France (Paris);;;
Hardcore  ;Kill For Peace;Agony;2018;;https://killforpeace.bandcamp.com/;https://www.youtube.com/channel/UChq92Bv_stt_c_S1NFcHKiA;DON’T TRUST THE HYPE;https://www.youtube.com/watch?v=sJ2Qv8JcxMs;https://youtu.be/NiENp8WQ70M;https://www.facebook.com/pg/KILLFORPEACE;;Nord Pas De Calais (Valenciennes);;;
