Technical Death Metal|DYSMORPHIC|The Diving Mask|oct.-18||https://dysmorphicmetal.bandcamp.com|https://www.youtube.com/watch?v=kpHVEhb-H_8|Unique Leader Records|https://youtu.be/2xEcBxCTzaQ|https://youtu.be/kpHVEhb-H_8|https://www.facebook.com/dysmorphicband|dysmorphic@hotmail.fr|Tours et Toulouse|
Brutal Death/Grind|Benighted|Necrobreed|févr.-17|http://brutalbenighted.com|http://benighted.bandcamp.com|https://www.youtube.com/channel/UCBisgB-4zTJBjCjdvkLVgOw|Season Of Mist|https://youtu.be/oPDH83tFa9o|https://youtu.be/eiGPTltI_PA|https://www.facebook.com/brutalbenighted|"ronny@redback-promotion.com
"|Rhône alpes (St Etienne)|
Death|Defenestration|Gutter Perdition|févr.-18|https://www.instagram.com/defenestration_official|https://defenestration44.bandcamp.com/|https://www.youtube.com/channel/UCl-RyYyps2yrGvv9C_hNXpg|XenoKorp|https://youtu.be/N8nEqmNMQUQ|https://youtu.be/LoBDPYcTDLs|https://www.facebook.com/pg/Defenestration44||Pays de La Loire (Nantes)|
Death|Iron Flesh|Scourge Of Demonic Incantations|avr.-18|https://ironflesh.bandcamp.com|https://ironflesh.bandcamp.com/merch|https://www.youtube.com/user/harm0nia||https://youtu.be/ekY4614rngw|https://youtu.be/wQXye8-h9jY|https://www.facebook.com/pg/IronFlesh|diskarial@msn.com|Aquitaine (Bordeaux)|
Cavernous and Deep Black Metal|Abyssal Vacuum|MMXVII|févr.-18|https://www.deezer.com/fr/track/390426681|https://abyssalvacuum.bandcamp.com/releases|https://www.youtube.com/watch?v=qGHYpG0ebp0||https://youtu.be/qGHYpG0ebp0|https://youtu.be/jJLsrxaRov8|https://www.facebook.com/pg/AbyssalVacuum||Rhône Alpes (Lyon)|
Black Metal|Aorlhac|L' esprit Des Vents|mars-18|https://www.deezer.com/fr/artist/7197220|https://thoseopposedrecords.bandcamp.com/album/la-cit-des-vents|https://www.youtube.com/user/AORLHAC|Les Acteurs de l'Ombre Productions|https://youtu.be/sRtk6dm1IS0|https://youtu.be/ss9uMxXht9U|https://www.facebook.com/Aorlhac|aorlhac@hotmail.fr|Auvergne (Aurillac)|
Black Metal|Mortis Mutilati|The Stench Of Death|janv.-18|https://soundcloud.com/solsticepromotion|https://www.spirit-of-metal.com/fr/band/Mortis_Mutilati|https://youtu.be/1UhPTjd300c|Solstice Promotion|https://youtu.be/rrBUFqjOsC0|https://youtu.be/r9RqiNP4WsM|https://www.facebook.com/Mortis.Mutilati.Official|contact.mortismutilati@gmail.com|Paris|
Death / Hardcore|BTK (Bind Torture Kill)|Viscères|janv.-17|https://www.deezer.com/en/album/10681538?app_id=100023|https://btkmetal.bandcamp.com|https://www.youtube.com/channel/UChc4kAsH-OfBgteP8pYwX8w|Wooaaargh, Troffea records et HELL-J Industries.|https://www.youtube.com/watch?v=AiRWar-Q_8E|https://youtu.be/WZUQTZ_-Ufs|https://www.facebook.com/pg/BTK.bind.torture.kill.metal|btk.bindtorturekill@hotmail.fr|Rhône Alpes|
Modern melodic death metal|Swarmageddon|AN INFINITE LANDSCAPE|oct.-18|https://www.instagram.com/swarmageddon||https://www.youtube.com/channel/UChMW78ZtpYAaz6jgBNhu5iQ|Unsigned|https://youtu.be/ypCa24RBjKs|https://youtu.be/aH-rudLK-oI|https://www.facebook.com/SWRMGDDN|swarmageddon.band@gmail.com|Besançon|
Black/Death/Oriental/Progressif|Aeon Patronist|Mortal Prosternation|oct.-18|https://www.darkfaeryrecords.com/project/aeon-patronist|https://aeonpatronist.bandcamp.com|https://www.youtube.com/channel/UCB3KI7P1uW1jsp4LzbkeJSQ||https://www.youtube.com/watch?v=EljpnrtwhaI|https://www.youtube.com/watch?v=A3uHxDL4xOw|https://www.facebook.com/AeonPatronist|aeonpatronist@gmail.com|Lyon|
Black Metal|God against humanity|Castle Of Dust|oct.-18||https://godagainsthumanity.bandcamp.com|https://www.youtube.com/channel/UCVtTrZhaCq7YrQNoGxPsCXw||https://youtu.be/uoe0RHXcQ3Q||https://www.facebook.com/God-against-humanity-542042019573344||Lille|
