STYLE SECONDAIRE;NOM GROUPE;TITRE ALBUM;ANNEE;Lien titre 1;Lien titre 2;Lien titre 3;Label;Clip titre ;Clip titre 2;Lien groupe;mail contact;Origine;Telephone;Pochette ;Photo du Groupe
Doom;Monolithe;Nebula Septem;2018;https://twitter.com/monolithe;https://monolithe.bandcamp.com;https://www.youtube.com/channel/UC7NewNbrtlNohq4sOc-EA8Q;Les Acteurs de l'Ombre Productions;https://www.youtube.com/watch?v=OG3FJwX-7VU;;https://www.facebook.com/pg/monolithedoom;Blandine / LADLO : blandine@lesacteursdelombre.com / Prescillia / MONOLITHE : prescillia.bourguignon@gmail.com;Ile de France (Paris);;;
Doom;Mourning Dawn;The Dead Years;2018;https://www.reverbnation.com/mourningdawn;https://mourningdawn.bandcamp.com/album/the-dead-years;https://www.youtube.com/channel/UCVOXq3GfeGgEE--vUCtjeDw;Total Rust;https://youtu.be/LFJdXIVlkio;https://youtu.be/K9q9kvjlOKg;https://www.facebook.com/pg/MourningDawn;pokemonslaughter@hotmail.com;Ile de France (Paris);;;
Southern Metal;Red Mourning;Under Punishment's Tree;2018;https://soundcloud.com/red-mourning-1;;https://www.youtube.com/channel/UCPS2y8INKKim3IsS9PoglIA;Bad Reputation;https://youtu.be/CZPefGlX99U;https://youtu.be/kLL-XR1Cx0U;https://www.facebook.com/pg/RedMourning;rpmprod@gmail.com;Ile de France (Paris);;;
Stoner;Walnut Grove Dc;Roskov;2018;https://www.deezer.com/fr/album/7761234;;https://www.youtube.com/channel/UClbQFYv-27ZAn28FLCzqahg;;https://youtu.be/0mDg3QmLZBo;https://youtu.be/w7B7s51rLGo;https://www.facebook.com/pg/walnutgrovedc;walnutgrovedc@gmail.com;Poitou Charente (La Rochelle);;;
Post / Screamo / Sludge;Left To Wither;Left To Wither;2018;;https://lefttowither.bandcamp.com/releases;https://www.youtube.com/channel/UC39lZ2YtXJeNZ4VuuzkQefg;;https://youtu.be/4qlSseS00VU;https://youtu.be/6mSvX304tGQ;https://www.facebook.com/pg/lefttowither;leftowither@gmail.com;Nord Pas De Calais (Lille);;;
Stoner;Mudweiser;So Said The Snake;2018;https://www.head-records.com/mudweiser;https://mudweiser.bandcamp.com;https://www.youtube.com/channel/UCT_hrQ66ymSmRzMoHkwR0Iw;Head Records;https://youtu.be/uRiMAcJjXsA;https://www.youtube.com/watch?v=N04dmoczFI8;https://www.facebook.com/pg/Mudweiser-160736803969841;;Languedoc Roussillon (Montpellier);;;
Metal psychedelique;Dogfries;Globular Cluster;2018;;"""https://dogfries.bandcamp.com";https://www.youtube.com/channel/UCNJWS6KAS6-dQq9S7mR2qXA;;https://youtu.be/snB9rpq2h9g;https://youtu.be/v5j5TtMPk3U;https://www.facebook.com/dogfriesband;dogfries.music@gmail.com;Marseille;;;
Death / Doom;Epitaphe;DEMO MMXVII;2018;;https://epitaphe.bandcamp.com/releases;;Chaos Records;https://youtu.be/CIk678MWoD4;;https://www.facebook.com/epitaphemetal;;Rhône Alpes (Grenoble);;;
Sludge;Black box warning;Attendre la mort;2018;;https://blackboxwarning.bandcamp.com/releases;https://www.youtube.com/channel/UCO-A9pC8TuQg0w3n3cOgzhA;Autoproduction;https://youtu.be/5cq3aZsrT0E;https://www.youtube.com/watch?v=5AuCQ6-kxL0;https://www.facebook.com/blackboxwarningmusic;;;;;
Progressive Death Metal;Baculum;Disqualifié;2018;;https://baculum666.bandcamp.com/album/disqualifi;https://www.youtube.com/channel/UCJXFK-0Ce6H-knZD5lTgInA;;https://youtu.be/HHU2RPAjW8A;https://youtu.be/Wf873EKo0uk;https://www.facebook.com/baculumdoom;;Bordeaux;;;
