STYLE SECONDAIRE;NOM GROUPE;TITRE ALBUM;ANNEE;Lien titre 1;Lien titre 2;Lien titre 3;Label;Clip titre ;Clip titre 2;Lien groupe;mail contact;Origine;Telephone;Pochette ;Photo du Groupe
Metal expérimental Indus;Oestre;An Zero (Février 2018);2018;https://soundcloud.com/oestre;https://oestre.bandcamp.com/;https://www.youtube.com/channel/UCUddwtecm4fRYcatcXI-Lxg;;https://youtu.be/uMDIaR2b46U;;https://www.facebook.com/Oestrefr;;Limousin (Limoges);;;
Neo Metal;Dusk Of Delusion;(F)unfair (Mars 2018);2018;http://www.fantaizic.fr/index.html;https://duskofdelusion.bandcamp.com/releases;https://www.youtube.com/channel/UC-ktc1XzCRXlAquGsBFr6nQ;Fantaizic;https://youtu.be/LTJIYttxBZY;https://youtu.be/oSOxdgNKZ0s;https://www.facebook.com/Duskofdelusion;booking@fantaizic.fr;Lorraine (Nancy);;;
Metal Indus Experimental;Moon Prototype;Love ★ Hate;2018;;https://moonprototype.bandcamp.com;https://www.youtube.com/channel/UCYM7oEPVrL_iK89FFrHnfuA;;https://youtu.be/neND497Cb70;;https://www.facebook.com/pg/the.moon.prototype/about/?ref=page_internal;moonprototype@gmail.com;Bretagne;;;
Metal Fusion;Lofofora;Simple Appareil (Avril 2018);2018;http://www.twitter.com/lofofora_;http://www.lofofora.com;https://www.youtube.com/user/lofoforaofficiel;At(h)ome;https://www.youtube.com/watch?v=z6Q5JHGaU5A&feature=youtu.be;https://youtu.be/km5ta8OdxjA;https://www.facebook.com/pg/Lofofora/about/?ref=page_internal;manager: phil.baseprod@wanadoo.fr;Ile de France (Paris);;;
electro Goth / Darkwave;Radium Valley; [Lanscape] (Avril 2018);2018;;https://radiumvalley.bandcamp.com/album/mutagenesis-01;https://www.youtube.com/channel/UC2FbJbIuxdsW9vywpUgaTNQ;Dooweet et Season Of Mist;https://youtu.be/N2u0u66MbVI;https://youtu.be/_FZuoNObddE;https://www.facebook.com/pg/radiumvalleyofficial/about/?ref=page_internal;radiumvalley@gmail.com;Limousin (Limoges);;;
Metal Alternatif;Ways.;Aftermath (Mars 2018);2018;http://bit.ly/2pcq3re;https://waysofficiel.bandcamp.com/releases;https://www.youtube.com/channel/UC4-c9Yfoh4TkHI7YW5oSy_g;;https://www.youtube.com/watch?v=GY9nC6tISwY;https://youtu.be/Sn_oeD5OFaA;https://www.facebook.com/pg/thisisways/about/?ref=page_internal;waysofficiel@gmail.com;Ile de France (Paris);;;
Electro Metal;Kamera Obscura;‘The Final Cut’ (janvier 2018);2018;;;https://www.youtube.com/channel/UClTrFgft1RSsJgg1YUBuDKA;;https://youtu.be/TC3IofFXbSc;https://youtu.be/25FH1duQ_00;http://kameraobscura.info;contact.kameraobscura@gmail.com;K.O Castle - France;;;
Electro Metal;Shaârghot;"Mars 2018 EP "" Break Your Body """;2018;https://soundcloud.com/sha-rghot;http://shaarghot.bigcartel.com;https://www.youtube.com/channel/UCoNxJTk1tc12iN2ADTy7ZdQ;;https://youtu.be/p3l8A_i_pK0;https://youtu.be/8iPD-85zoH4;https://www.facebook.com/shaarghot/;;Ile de france;;;
Electro Rock Alternatif;Initial Data;"Projet de clip avec don Nov 2018 ""Superhero""";2018;https://twitter.com/Initial_Data;https://www.initialdatamusic.com;https://www.youtube.com/channel/UCf5RbeJ7rp5QSN4l356HHJQ;;https://youtu.be/-50Bjeu8RC4;https://youtu.be/e2OQa7xf1yQ;;initialdataofficiel@gmail.com;Nouvelle Aquitaine;;;
Metal - Trap - Hip Hop - Rock;Wild Mighty Freaks;"Clip "" Okay (The Blue Freestyle)"" Juin 2018";2018;https://twitter.com/WMFreaks;http://instagram.com/wildmightyfreaks;https://www.youtube.com/channel/UCfytbrC2xNh3NNkTUXb-MVA;Indépendant;https://youtu.be/pmdHjbvHkBc;https://youtu.be/NC_sGD4lIY8;https://www.facebook.com/wildmightyfreaksofficial/;ayite@bemavocorp.com;France;06 78 26 12 04;;
Rapcore/Nu metal/Deathcore;Smash Hit Combo;Dernier clip Sept 2018 -THE LEGEND OF ZELDA;2018;http://smarturl.it/Playmore;http://smarturl.it/SHCplanB;https://www.youtube.com/channel/UCnhQLlMDfg8BgJJEqWuNGYw;darkTunes Music Group (world wide);https://youtu.be/i8sV9ziiK-Q;https://youtu.be/-KQlMg0bFHw;;smashhitcombo@gmail.com;Mulhouse (68);;;
NU METAL;MONSUTĀ;"Nouveau Clip Oct 2018 ""Sad Habits""";2018;https://twitter.com/monsutaband;https://soundcloud.com/monsutaband;https://www.youtube.com/channel/UC-bC4Da5AJ95qyeCRGIoKBg;;https://youtu.be/Nogu09E1WJE;https://youtu.be/HZr0FPNR5j0;;contact@monsuta.fr;Cornier (FR) / Genève (CH);;;
Metal / Rock / Electro;Mass Hysteria;"Nouvel Album ""Maniac"" 26 Oct 2018";2018;https://www.deezer.com/fr/album/76395472?app_id=140685;https://open.spotify.com/album/0UHnWtRu6EFUUm31UjCaLk;https://www.youtube.com/watch?v=p6uRIfs0JOk&list=PLyseo58Sy9AyGYQzCpCobkK-Ol4Q7mj9j;VERYCORDS;https://youtu.be/p6uRIfs0JOk?list=PLyseo58Sy9AyGYQzCpCobkK-Ol4Q7mj9j;https://youtu.be/p6uRIfs0JOk?list=RDp6uRIfs0JOk;;sabrina.cohenaiello@verycords.fr;Paris;;;
