Metal / Death Metal / Thrash Metal|Death Decline|The Thousand Faces Of Lies|oct.-18||http://deathdecline.bandcamp.com|https://www.youtube.com/channel/UCOPbA2FwUgjqw9VPS7jnQM|M & O Music (Label)|https://youtu.be/IaJ2UHiTa0|https://youtu.be/fljejaym1|https://www.facebook.com/deathdecline/|deathdecline@hotmail.com|Dijon|(0)663378449
Metal Zone|Resolve|Carmela|nov.-18|https://twitter.com/resolveoff||https://www.youtube.com/channel/UCjPKJ8qDA8hsK2asFDFN5a||https://youtu.be/tjIEX5bf-Y||https://www.facebook.com/resolveofficial/|resolveofficial@gmail.com|Lyon|
thrash metal|Lebowskii|Liquidators|févr.-18||https://lebowskii.bandcamp.com/album/liquidators|https://www.youtube.com/channel/UCd96PYBn7AVj-GngdyThRSA|music-records.fr|https://youtu.be/xjaBU1lsock|https://youtu.be/JziEMHgw67U|https://www.facebook.com/Lebowskiiband||Pays de la loire (Nantes )|
Heavy Power Metal|öblivïon|Resilience|févr.-18|https://www.oblivion-metal.com|||Rock Of Angels Records|https://youtu.be/rAd-p3pzwm0||https://www.facebook.com/Oblivionband|rockcityba@gmail.com|Rhône Alpes (Lyon)|
thrash metal|Artery|Deadland|janv.-18|https://soundcloud.com/artery-3/dreamland-new-line-up-arter|https://arteryfrance.bandcamp.com/album/deadland|||||https://www.facebook.com/pg/arteryfrance|thierry.desvars1@gmail.com|Aquitaine (Angoulème)|
Metal|Eryn Non Dae|Abandon Of The Self|mars-18|https://www.reverbnation.com/erynnondae||https://www.youtube.com/channel/UCQrIqN-rS5bx82ZnXPhxRdg|Debemur Morti Productions|https://www.youtube.com/watch?v=NqKdNguwnQg|https://www.youtube.com/watch?v=v13iB1MSDCo|https://www.facebook.com/pg/ERYNNONDAEofficial|Franck : end.theband@gmail.com||
Metal progressif mélodique|Seyminhol|Ophelian Fields|févr.-18|||https://www.youtube.com/watch?v=A6FwngkmYvA|Lion Music Records Label|https://www.youtube.com/watch?v=wM7UcDpj0j0||https://www.facebook.com/pg/Seyminhol|seyminhol@hotmail.com||
Metal progressif alternatif|Krõdha|Ignoramus|févr.-18||https://krodha.bandcamp.com|https://www.youtube.com/channel/UCDwRaK46lAORNJgkaIFptOA||https://youtu.be/D0aNJ3VTYd8|https://youtu.be/zEjt2adGSk0|https://www.facebook.com/pg/KrodhaMusic|contact.krodha@gmail.com|Pays de la Loire (Angers)|
Metal Progressif|Black Neon District|Standing Waves|févr.-18|http://www.twitter.com/BlackNeonD|https://blackneondistrict.bandcamp.com/releases|https://www.youtube.com/channel/UCGr9Oaz2OzPz9YaNOBOsi3A||https://youtu.be/4022iYfLGq8|https://youtu.be/3TmK2Z_956c|https://www.facebook.com/pg/BlackNeonDistrict|blackneondistrict@gmail.com|Ile de France (Paris)|
Metal Progressif|Disconnected|White Colossus|mars-18|https://twitter.com/Disconnected119|https://disconnectedmetal.bandcamp.com|https://www.youtube.com/user/DisconnectedMetal|Apathia Records|https://youtu.be/uJlp5yIshr0|https://youtu.be/sVJQEmlFxBs|https://www.facebook.com/DisconnectedMetal|disconnected_music@yahoo.fr|Champagne Ardennes (Troyes)|
